unique_id,ds,y
andaman and nicobar,2018-07-01,194.66
andaman and nicobar,2018-08-01,214.62
andaman and nicobar,2018-09-01,256.96
andaman and nicobar,2018-10-01,213.03
andaman and nicobar,2018-11-01,206.8
andaman and nicobar,2018-12-01,373.21
andaman and nicobar,2019-01-01,222.51
andaman and nicobar,2019-02-01,195.88
andaman and nicobar,2019-03-01,321.53
andaman and nicobar,2019-04-01,229.59
andaman and nicobar,2019-05-01,276.99
andaman and nicobar,2019-06-01,190.68
andaman and nicobar,2019-07-01,217.12
andaman and nicobar,2019-08-01,228.28
andaman and nicobar,2019-09-01,210.03
andaman and nicobar,2019-10-01,255.35
andaman and nicobar,2019-11-01,252.5
andaman and nicobar,2019-12-01,258.95
andaman and nicobar,2020-01-01,320.81
andaman and nicobar,2020-02-01,267.52
andaman and nicobar,2020-03-01,257.846
andaman and nicobar,2020-04-01,248.172
andaman and nicobar,2020-05-01,238.498
andaman and nicobar,2020-06-01,228.824
andaman and nicobar,2020-07-01,219.15
andaman and nicobar,2020-08-01,166.92
andaman and nicobar,2020-09-01,207.0
andaman and nicobar,2020-10-01,196.24
andaman and nicobar,2020-11-01,188.58
andaman and nicobar,2020-12-01,245.77
andaman and nicobar,2021-01-01,261.13
andaman and nicobar,2021-02-01,271.06
andaman and nicobar,2021-03-01,303.85
andaman and nicobar,2021-04-01,258.15
andaman and nicobar,2021-05-01,128.86
andaman and nicobar,2021-06-01,142.98
andaman and nicobar,2021-07-01,221.51
andaman and nicobar,2021-08-01,262.28
andaman and nicobar,2021-09-01,273.09
andaman and nicobar,2021-10-01,148.23
andaman and nicobar,2021-11-01,267.18
andaman and nicobar,2021-12-01,312.36
andaman and nicobar,2022-01-01,280.87
andaman and nicobar,2022-02-01,310.16
andaman and nicobar,2022-03-01,356.63
andaman and nicobar,2022-04-01,351.51
andaman and nicobar,2022-05-01,339.06
andaman and nicobar,2022-06-01,299.77
andaman and nicobar,2022-07-01,337.06
andaman and nicobar,2022-08-01,361.46
andaman and nicobar,2022-09-01,365.97
andaman and nicobar,2022-10-01,375.94
andaman and nicobar,2022-11-01,368.46
andaman and nicobar,2022-12-01,383.84
andaman and nicobar,2023-01-01,337.99
andaman and nicobar,2023-02-01,392.48
andaman and nicobar,2023-03-01,478.0
andaman and nicobar,2023-04-01,380.63
andaman and nicobar,2023-05-01,358.26
andaman and nicobar,2023-06-01,356.27
andaman and nicobar,2023-07-01,340.9
andaman and nicobar,2023-08-01,357.39
andaman and nicobar,2023-09-01,352.19
andaman and nicobar,2023-10-01,357.41
andaman and nicobar,2023-11-01,344.1
andaman and nicobar,2023-12-01,381.15
andaman and nicobar,2024-01-01,387.06
andaman and nicobar,2024-02-01,398.66
andaman and nicobar,2024-03-01,464.68
andaman and nicobar,2024-04-01,415.61
andaman and nicobar,2024-05-01,419.59
andaman and nicobar,2024-06-01,340.75
andaman and nicobar,2024-07-01,363.34
andaman and nicobar,2024-08-01,404.33
andaman and nicobar,2024-09-01,428.14
andaman and nicobar,2024-10-01,464.35
andaman and nicobar,2024-11-01,527.99
andaman and nicobar,2024-12-01,609.93
andaman and nicobar,2025-01-01,555.09
andaman and nicobar,2025-02-01,476.1
andaman and nicobar,2025-03-01,660.07
andaman and nicobar,2025-04-01,569.69
andaman and nicobar,2025-05-01,537.2
andaman and nicobar,2025-06-01,535.23
andaman and nicobar,2025-07-01,456.2
andaman and nicobar,2025-08-01,541.39
andaman and nicobar,2025-09-01,603.49
andaman and nicobar,2025-10-01,466.32
andaman and nicobar,2025-11-01,545.64
andaman and nicobar,2025-12-01,731.53
andaman and nicobar,2026-01-01,633.63
andaman and nicobar,2026-02-01,646.75
andaman and nicobar,2026-03-01,893.08
andaman and nicobar,2026-04-01,643.78
andaman and nicobar,2026-05-01,590.0
andaman and nicobar,2026-06-01,672.0
andaman and nicobar,2026-07-01,588.39
andhra pradesh,2018-07-01,66363.08
andhra pradesh,2018-08-01,75121.15
andhra pradesh,2018-09-01,73458.71
andhra pradesh,2018-10-01,75928.59
andhra pradesh,2018-11-01,72597.85
andhra pradesh,2018-12-01,73963.12
andhra pradesh,2019-01-01,70727.94
andhra pradesh,2019-02-01,69871.22
andhra pradesh,2019-03-01,79289.57
andhra pradesh,2019-04-01,66791.34
andhra pradesh,2019-05-01,70812.45
andhra pradesh,2019-06-01,67253.31
andhra pradesh,2019-07-01,69369.19
andhra pradesh,2019-08-01,68403.92
andhra pradesh,2019-09-01,68352.16
andhra pradesh,2019-10-01,69329.26
andhra pradesh,2019-11-01,72763.82
andhra pradesh,2019-12-01,78215.34
andhra pradesh,2020-01-01,76555.22
andhra pradesh,2020-02-01,75200.41
andhra pradesh,2020-03-01,73495.992
andhra pradesh,2020-04-01,71791.57400000001
andhra pradesh,2020-05-01,70087.156
andhra pradesh,2020-06-01,68382.73800000001
andhra pradesh,2020-07-01,66678.32
andhra pradesh,2020-08-01,70591.46
andhra pradesh,2020-09-01,80114.11
andhra pradesh,2020-10-01,79986.15
andhra pradesh,2020-11-01,77393.26
andhra pradesh,2020-12-01,91642.41
andhra pradesh,2021-01-01,85294.57
andhra pradesh,2021-02-01,85987.58
andhra pradesh,2021-03-01,100631.23
andhra pradesh,2021-04-01,90685.57
andhra pradesh,2021-05-01,75253.94
andhra pradesh,2021-06-01,86856.1
andhra pradesh,2021-07-01,95832.12
andhra pradesh,2021-08-01,96348.34
andhra pradesh,2021-09-01,98671.99
andhra pradesh,2021-10-01,90513.21
andhra pradesh,2021-11-01,96248.74
andhra pradesh,2021-12-01,108159.94
andhra pradesh,2022-01-01,104705.27
andhra pradesh,2022-02-01,107469.37
andhra pradesh,2022-03-01,121201.79
andhra pradesh,2022-04-01,147989.28
andhra pradesh,2022-05-01,109829.95
andhra pradesh,2022-06-01,118595.71
andhra pradesh,2022-07-01,117564.35
andhra pradesh,2022-08-01,116408.45
andhra pradesh,2022-09-01,120418.15
andhra pradesh,2022-10-01,118179.9
andhra pradesh,2022-11-01,116383.14
andhra pradesh,2022-12-01,126360.74
andhra pradesh,2023-01-01,115718.95
andhra pradesh,2023-02-01,114339.29
andhra pradesh,2023-03-01,128165.7
andhra pradesh,2023-04-01,115506.4
andhra pradesh,2023-05-01,118920.26
andhra pradesh,2023-06-01,119297.0
andhra pradesh,2023-07-01,119863.49
andhra pradesh,2023-08-01,124232.57
andhra pradesh,2023-09-01,118796.92
andhra pradesh,2023-10-01,122035.91
andhra pradesh,2023-11-01,115847.29
andhra pradesh,2023-12-01,124889.83
andhra pradesh,2024-01-01,122144.78
andhra pradesh,2024-02-01,123621.04
andhra pradesh,2024-03-01,133731.39
andhra pradesh,2024-04-01,115260.74
andhra pradesh,2024-05-01,118010.1
andhra pradesh,2024-06-01,118504.9
