unique_id,volume_growth,amount_growth
andaman and nicobar,9.08,9.71
andhra pradesh,11.92,18.0
arunachal pradesh,9.13,4.52
assam,9.29,10.0
bihar,8.23,13.16
chandigarh,8.03,11.98
chhattisgarh,9.59,16.77
delhi,-3.82,17.88
dnh and dd,-0.58,13.57
goa,-0.29,9.08
gujarat,7.35,13.02
haryana,6.32,17.21
himachal pradesh,8.08,16.58
jammu and kashmir,10.41,14.38
jharkhand,7.74,10.08
karnataka,13.28,13.95
kerala,11.8,19.71
ladakh,8.35,16.61
lakshadweep,5.63,-19.34
madhya pradesh,8.14,13.72
maharashtra,8.63,14.34
manipur,-7.5,6.93
meghalaya,4.59,13.58
mizoram,-5.24,16.66
nagaland,10.63,10.94
odisha,10.88,2.89
puducherry,6.78,21.75
punjab,8.74,13.83
rajasthan,7.28,13.35
sikkim,13.32,9.74
tamil nadu,10.15,13.07
telangana,12.09,20.2
tripura,8.99,9.1
uttar pradesh,-1.85,15.42
uttarakhand,6.64,16.36
west bengal,10.46,13.75
