unique_id,ds,y
andaman and nicobar,2018-07-01,7499.0
andaman and nicobar,2018-08-01,8722.0
andaman and nicobar,2018-09-01,8415.0
andaman and nicobar,2018-10-01,8690.0
andaman and nicobar,2018-11-01,8087.0
andaman and nicobar,2018-12-01,8613.0
andaman and nicobar,2019-01-01,8364.0
andaman and nicobar,2019-02-01,7902.0
andaman and nicobar,2019-03-01,9287.0
andaman and nicobar,2019-04-01,8659.0
andaman and nicobar,2019-05-01,8731.0
andaman and nicobar,2019-06-01,7320.0
andaman and nicobar,2019-07-01,8619.0
andaman and nicobar,2019-08-01,9119.0
andaman and nicobar,2019-09-01,9007.0
andaman and nicobar,2019-10-01,8836.0
andaman and nicobar,2019-11-01,9543.0
andaman and nicobar,2019-12-01,9304.0
andaman and nicobar,2020-01-01,9432.0
andaman and nicobar,2020-02-01,9131.0
andaman and nicobar,2020-03-01,9097.8
andaman and nicobar,2020-04-01,9064.6
andaman and nicobar,2020-05-01,9031.4
andaman and nicobar,2020-06-01,8998.2
andaman and nicobar,2020-07-01,8965.0
andaman and nicobar,2020-08-01,5059.0
andaman and nicobar,2020-09-01,8106.0
andaman and nicobar,2020-10-01,8837.0
andaman and nicobar,2020-11-01,8448.0
andaman and nicobar,2020-12-01,10434.0
andaman and nicobar,2021-01-01,8966.0
andaman and nicobar,2021-02-01,10746.0
andaman and nicobar,2021-03-01,11779.0
andaman and nicobar,2021-04-01,10378.0
andaman and nicobar,2021-05-01,4161.0
andaman and nicobar,2021-06-01,5030.0
andaman and nicobar,2021-07-01,8628.0
andaman and nicobar,2021-08-01,11143.0
andaman and nicobar,2021-09-01,11799.0
andaman and nicobar,2021-10-01,4983.0
andaman and nicobar,2021-11-01,11033.0
andaman and nicobar,2021-12-01,13232.0
andaman and nicobar,2022-01-01,11286.0
andaman and nicobar,2022-02-01,12057.0
andaman and nicobar,2022-03-01,14429.0
andaman and nicobar,2022-04-01,13817.0
andaman and nicobar,2022-05-01,12593.0
andaman and nicobar,2022-06-01,12955.0
andaman and nicobar,2022-07-01,13456.0
andaman and nicobar,2022-08-01,14711.0
andaman and nicobar,2022-09-01,16279.0
andaman and nicobar,2022-10-01,13628.0
andaman and nicobar,2022-11-01,14976.0
andaman and nicobar,2022-12-01,15368.0
andaman and nicobar,2023-01-01,13870.0
andaman and nicobar,2023-02-01,14484.0
andaman and nicobar,2023-03-01,17370.0
andaman and nicobar,2023-04-01,13478.0
andaman and nicobar,2023-05-01,13649.0
andaman and nicobar,2023-06-01,12817.0
andaman and nicobar,2023-07-01,13527.0
andaman and nicobar,2023-08-01,13990.0
andaman and nicobar,2023-09-01,15706.0
andaman and nicobar,2023-10-01,14019.0
andaman and nicobar,2023-11-01,14052.0
andaman and nicobar,2023-12-01,15059.0
andaman and nicobar,2024-01-01,15340.0
andaman and nicobar,2024-02-01,16090.0
andaman and nicobar,2024-03-01,17043.0
andaman and nicobar,2024-04-01,15489.0
andaman and nicobar,2024-05-01,15577.0
andaman and nicobar,2024-06-01,13643.0
andaman and nicobar,2024-07-01,15301.0
andaman and nicobar,2024-08-01,15796.0
andaman and nicobar,2024-09-01,16932.0
andaman and nicobar,2024-10-01,16309.0
andaman and nicobar,2024-11-01,16318.0
andaman and nicobar,2024-12-01,17343.0
andaman and nicobar,2025-01-01,17547.0
andaman and nicobar,2025-02-01,16553.0
andaman and nicobar,2025-03-01,19149.0
andaman and nicobar,2025-04-01,16427.0
andaman and nicobar,2025-05-01,16713.0
andaman and nicobar,2025-06-01,14252.0
andaman and nicobar,2025-07-01,16133.0
andaman and nicobar,2025-08-01,17922.0
andaman and nicobar,2025-09-01,18196.0
andaman and nicobar,2025-10-01,16028.0
andaman and nicobar,2025-11-01,18114.0
andaman and nicobar,2025-12-01,20274.0
andaman and nicobar,2026-01-01,19248.0
andaman and nicobar,2026-02-01,18533.0
andaman and nicobar,2026-03-01,20592.0
andaman and nicobar,2026-04-01,18261.0
andaman and nicobar,2026-05-01,17682.0
andaman and nicobar,2026-06-01,18084.0
andaman and nicobar,2026-07-01,19653.0
andhra pradesh,2018-07-01,1931596.0
andhra pradesh,2018-08-01,2214801.0
